assigned_unid,fund_name,strategy,vintage_year,irr,tvpi_reported,total_contributed,total_value
fct5frvqi22wr5njro3k,"Silver Lake Partners VI, L.P.","Corporate Finance/Buyout - Mega",2021,0.4032,1.3,175736735,220412514
ucmllaca965039uarckc,"Cinven Seventh Fund","Corporate Finance/Buyout - Mega",2020,0.3946,1.5,35569756,53552844
395fdc2lufai9sq18foo,"Insight Venture Partners Growth-Buyout Coinvestment Fund, L.P.","Growth Equity",2015,0.3864,4,48009467,192513653
w1xaavgcg6f5eevr65gr,"GTCR Fund XII, L.P.","Corporate Finance/Buyout - Large",2018,0.3636,1.6,285817092,470063637
ghjcpjvghxves4dusool,"Insight Venture Partners IX, L.P.","Growth Equity",2015,0.3626,4.1,153534417,622833390
eoho1ko5izaclt5il5mj,"Francisco Partners IV, L.P.","Corporate Finance/Buyout - Mid",2015,0.3595,3.4,140830253,478102991
0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.","Corporate Finance/Buyout - Mega",2018,0.352,1.7,497889705,865255768
ufzgbvooft5ccxoya3ay,"Hellman & Friedman Capital Partners IX, L.P.","Corporate Finance/Buyout - Mega",2020,0.3519,1.3,524475345,666159584
74zunwecm8gj770d6vj9,"Menlo Special Opportunities Fund II, L.P.","Venture Capital",2019,0.351,1.3,149894315,199798030
43imq1xnyo7ntl4rkfdm,"Silver Lake III SL SPV-2, L.P.","Corporate Finance/Buyout - Mega",2019,0.3486,1.4,63637662,89837561
1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.","Corporate Finance/Buyout - Mega",2018,0.3447,1.7,382702024,644533461
cowzqdsxptwdpanxjosg,"Apax IX USD, L.P.","Corporate Finance/Buyout - Mega",2017,0.344,2.2,248935561,540653529
emu01req1ti8wfdz1ost,"Endeavour Capital Fund VII, L.P. - Secondary Purchase","Corporate Finance/Buyout - Small",2020,0.3434,1.3,13173717,17175090
5rbd4w103vpkxcslbr9j,"TPG Growth V, L.P.","Growth Equity",2021,0.33,1.3,161104294,201627859
oablv0v47414x5c1vubg,"Trident VIII, L.P.","Corporate Finance/Buyout - Large",2020,0.3259,1.2,184274830,214874044
z7skowj40kuaekl04cvl,"Fisher Lynch Co-Investment Partnership IV, L.P.",Co-Investment,2019,0.3174,1.4,689152881,934657911
cdze690nj7kffcdkm1cq,"Riverside Capital Appreciation Fund VII, L.P.","Corporate Finance/Buyout - Mid",2019,0.3159,1.4,133148792,190348008
sipp071n1wvlkpred9l3,"TSSP Capital Solutions","Special Situation",2019,0.3128,1.5,82475994,125052715
gB4iaqV1rm4VNXSxF2Yj,"Menlo Ventures XI, L.P.","Venture Capital",2011,0.3124,4.3,100000000,428238936
1hrol9krxp6xqlgyu94a,"Permira VI, L.P.","Corporate Finance/Buyout - Mega",2017,0.3071,2.1,325063397,676165889
p30qfk88747c9xlywqiq,"Blackstone Capital Partners VIII, L.P.","Corporate Finance/Buyout - Mega",2021,0.3027,1.3,91415893,116263975
qmikvyb4pe8bnuvgjqqb,"Green Equity Investors VII, L.P.","Corporate Finance/Buyout - Mega",2017,0.3018,2.1,310036136,637483879
i0v87etkcue4ogxrmgpb,"KSL Capital Partners V, L.P.","Corporate Finance/Buyout - Mid",2019,0.3005,1.2,137645569,165442266
e3ou84r2ejrz4p2un6qb,"Cinven Sixth Fund","Corporate Finance/Buyout - Mega",2017,0.2965,1.9,270799111,506690320
pcq8bp3elgani9l2cns6,"PAI Europe VII","Corporate Finance/Buyout - Large",2019,0.2933,1.3,77956365,101821307
